tag,content,label,depth,domain
html body div div div div div span  ,跳到,0,8,newdata
html body div div div div div div div a span  ,此頁面的區塊,0,11,newdata
html body div div div div div div div a span  ,無障礙環境說明,0,11,newdata
html body div div div div div div  ,按,0,8,newdata
html body div div div div div div span  ,alt,0,9,newdata
html body div div div div div div  ,+,0,8,newdata
html body div div div div div div span  ,/,0,9,newdata
html body div div div div div div  ,可開啟這個功能表,0,8,newdata
html body div div div div div div div h1 a i u  ,Facebook,0,13,newdata
html body div div div div div div div a span  ,加入或登入 Facebook  ,0,11,newdata
html body div div div div div div div div div div form div div label  ,電子郵件地址或手機號碼,0,16,newdata
html body div div div div div div div div div div form div div label  ,密碼,0,16,newdata
html body div div div div div div div div div div form div div a  ,忘記帳號？,0,16,newdata
html body div div div div div div div div div div  ,是否要加入 Facebook？,0,12,newdata
html body div div div div div div div div div a  ,註冊,0,12,newdata
html body div div div div div div div span a  ,註冊,0,11,newdata
html body div div div div div div div div div div span  ,活動,0,13,newdata
html body div div div div div div div div a span  ,活動,0,12,newdata
html body div div div div div div div div div div div div div div div div div span span  ,2 月,1,21,newdata
html body div div div div div div div div div div div div div div div div div span span  ,18日,1,21,newdata
html body div div div div div div div div div div div div div div div div div div div h1  ,博恩有趣ㄉ演講try out feat.嘉藥多媒體&臺南文創園區,1,22,newdata
html body div div div div div div div div div div div div div div div div div div div div  ,公開 · 由,0,22,newdata
html body div div div div div div div div div div div div div div div div div div div div span a  ,嘉藥多媒體與遊戲發展系,0,24,newdata
html body div div div div div div div div div div div div div div div div div div div div  ,、,0,22,newdata
html body div div div div div div div div div div div div div div div div div div div div span a  ,摩洛哥可可 Morocco Coco,0,24,newdata
html body div div div div div div div div div div div div div div div div div div div div  ,和其他 7 人主辦,0,22,newdata
