tag,content,label,depth,domain
html body nav div div div div div ul li a  ,關於我們 ABOUT,0,11,newdata
html body nav div div div div div ul li a  ,課程資訊 CLASS,0,11,newdata
html body nav div div div div div ul li ul li a  ,過往課程 INFO,0,13,newdata
html body nav div div div div div ul li a  ,精選產品 PRODUCTS,0,11,newdata
html body nav div div div div div ul li ul li a  ,NC5 SELECT 精選系列,0,13,newdata
html body nav div div div div div ul li ul li a  ,VINONINE 酒品系列,0,13,newdata
html body nav div div div div div ul li a  ,影音專區 MEDIA,0,11,newdata
html body nav div div div div div ul li a  ,聯絡洽詢 CONTACT,0,11,newdata
html body div div div div span  ,Items,0,7,newdata
html body div div div div span span  ,0,0,8,newdata
html body div div div a  ,Sign in,0,6,newdata
html body div div h4 a  ,My cart,0,6,newdata
html body div div div div span  ,No products in the shopping bag.,0,7,newdata
html body div header div div div div nav h3  ,Main menu,0,10,newdata
html body div header div div div div nav div a  ,Skip to primary content,0,11,newdata
html body div header div div div div nav div a  ,Skip to secondary content,0,11,newdata
html body div header div div div div nav div ul li a  ,關於我們 ABOUT,0,13,newdata
html body div header div div div div nav div ul li a  ,課程資訊 CLASS,0,13,newdata
html body div header div div div div nav div ul li ul li a  ,過往課程 INFO,0,15,newdata
html body div header div div div div nav div ul li a  ,精選產品 PRODUCTS,0,13,newdata
html body div header div div div div nav div ul li ul li a  ,NC5 SELECT 精選系列,0,15,newdata
html body div header div div div div nav div ul li ul li a  ,VINONINE 酒品系列,0,15,newdata
html body div header div div div div nav div ul li a  ,影音專區 MEDIA,0,13,newdata
html body div header div div div div nav div ul li a  ,聯絡洽詢 CONTACT,0,13,newdata
html body div header div div div div div div span  ,0,0,11,newdata
html body div div div h1  ,				親子烘焙:甜鹹泡芙,0,6,newdata
html body div div div h1  ,2017.03/23(五) 13.00~16.00					,0,6,newdata
html body div div div div div  ,"						三月 14, 2017					",0,7,newdata
html body div div div div div  ,								烘焙甜點							,0,7,newdata
html body div div div div div div div div div a  ,Prev,0,12,newdata
html body div div div div div div div div div a  ,Next,0,12,newdata
html body div div div div article div div div div h1  ,《親子烘焙 : 甜鹹泡芙 》,1,12,newdata
html body div div div div article div div div div div div p  ,一場親子午茶及放學後的點心時光,1,14,newdata
html body div div div div article div div div div div div p  ,擅長法式甜點的Heidi軒軒老師,1,14,newdata
html body div div div div article div div div div div div p  ,這次要帶大小朋友體驗一堂充滿幸福感的親子烘焙課,1,14,newdata
html body div div div div article div div div div div div p  ,飽飽的泡芙 滿滿的幸福,1,14,newdata
html body div div div div article div div div div h3 span  ,►參加對象,1,13,newdata
html body div div div div article div div div div p  ,*滿4歲以上，媽媽不須要全程追著孩子跑，叫寶貝，回來,1,12,newdata
html body div div div div article div div div div p wbr  ,坐好上課哦～具穩定性可Follow步驟完成實作者，通,1,13,newdata
html body div div div div article div div div div p wbr wbr  ,通都歡迎。,1,14,newdata
html body div div div div article div div div div p  ,*材料費收取一份二人一組為上限 (可由年長者較大的哥哥或姊姊，協助弟弟或妹妹，或由家,1,12,newdata
html body div div div div article div div div div p wbr  ,長陪同) ，若想二位小孩分開實作則收取二份材料費，可以放手多多,1,13,newdata
html body div div div div article div div div div p wbr wbr  ,鼓勵讓孩子自主完成。,1,14,newdata
html body div div div div article div div div div h3 span  ,◍ 講.師.介.紹 ◍,1,13,newdata
html body div div div div article div div div div h3 strong  ,Heidi 軒軒老師,1,13,newdata
html body div div div div article div div div div p  ,美味人生、美味記憶、創造無限美味感動！,1,12,newdata
html body div div div div article div div div div p  ,透過料理，拋開時空、現實的束縛，跟著我一起敞開心胸，用心去體驗、享受美食！,1,12,newdata
html body div div div div article div div div div p  ,軒軒老師擅長於歐式無國界料理、法式甜點，並以歐式料理為基礎，創作出一道道出美味與健康兼具的低卡料理，軒軒老師親切又生動的教學方法，讓每道料理都充滿了歡笑聲，這樣的精神也是軒軒老師想要傳遞給每位學員的，讓所有享受料理的人都能充滿歡樂。,1,12,newdata
html body div div div div article div div div div p strong  ,資歷,1,13,newdata
html body div div div div article div div div div ul li  ,BELLAVITA Cooking Studio「食尚攝影棚」廚藝總監,1,13,newdata
html body div div div div article div div div div ul li  ,《冰冰好料理》助理主持,1,13,newdata
html body div div div div article div div div div ul li  ,《食在好料理》固定料理示範講師,1,13,newdata
html body div div div div article div div div div ul li  ,《年代向前看》食安問題料理示範講師,1,13,newdata
html body div div div div article div div div div ul li  ,《姐妹愛漂亮》低卡料理示範講師,1,13,newdata
html body div div div div article div div div div ul li  ,《大學生了沒》省錢料理大賽評審,1,13,newdata
html body div div div div article div div div div ul li  ,全家義大利麵新品上市記者會示範料理講師,1,13,newdata
html body div div div div article div div div div ul li  ,食旅概念教學講師,1,13,newdata
html body div div div div article div div div div ul li  ,救國團歐式料理教學講師,1,13,newdata
html body div div div div article div div div div ul li  ,Nutrifresh新鮮營養健康有限公司廚藝總監(研發低卡健康餐),1,13,newdata
html body div div div div article div div div div h3 span  ,►課程內容 · Menu,1,13,newdata
html body div div div div article div div div div p  ,／草莓泡芙 (實作),1,12,newdata
html body div div div div article div div div div p  ,／火腿起士鹹泡芙 (實作),1,12,newdata
html body div div div div article div div div div p  ,★在玩.捏.搓.揉.攪拌中學習完成酥脆的泡芙基底麵團,1,12,newdata
html body div div div div article div div div div p  ,★內餡教學: 少女心草莓口味 與 鹹式內餡,1,12,newdata
html body div div div div article div div div div p span  ,★讓小朋友自己填料完成自己的小泡芙,1,13,newdata
html body div div div div article div div div div p span  ,★開心品嚐時光，享受與孩子們一起攜手傾注熱情包辦完成的成就感!,1,13,newdata
html body div div div div article div div div div h3 span  ,►上課時間 · Time,1,13,newdata
html body div div div div article div div div div p  ,2017.03.23(四) 13.00-16.00,1,12,newdata
html body div div div div article div div div div p  ,◍ 報 名 去 ◍ →,1,12,newdata
html body div div div div article div div div div p span a  ,https://goo.gl/forms/2QHLlMMGPe2yX2Ep2,1,14,newdata
html body div div div div article div div div div p  ,甜蜜互動價: $2200/組/堂,1,12,newdata
html body div div div div article div div div div p  ,課程時間：3小時,1,12,newdata
html body div div div div article div div div div p  ,報名截止日期：額滿截止,1,12,newdata
html body div div div div article div div div div div  ,* 歡迎小鳥胃同學自備保鮮盒,1,12,newdata
html body div div div div article div div div div div  ,* 餐點食材擺盤略有不同，請以現場實物為主,1,12,newdata
html body div div div div article div div div div div  ,* 6人以上開班，歡迎學員包班參加,1,12,newdata
html body div div div div article div div div div div  ,* NC5 Studio課程食譜及照片版權所有，僅供個人使用，非商業用途，未經授權請勿轉印或以任何形式流傳，違者必究,1,12,newdata
html body div div div div article div div div div div span  ,Tags,0,13,newdata
html body div div div div article div div div div div a  ,烘焙甜點,0,13,newdata
html body div div div div article div div div div div h3  ,Share this,0,13,newdata
html body div div div div article aside div div h3  ,Related projects,0,11,newdata
html body div div div div article aside div div div a div h4  ,與春天有約-夢幻草莓塔,0,14,newdata
html body div div div div article aside div div div a div h4  ,2017.03/19(日) 13.00~16.00,0,14,newdata
html body div div div div article aside div div div a div div span  ,烘焙甜點,0,15,newdata
html body div footer div div div div div section div p  ,© 2019 NC5 STUDIO · ALL RIGHTS RESERVED,0,12,newdata
