tag,content,label,depth,domain
html body div div div div div div span  ,2022/2/10,0,9,newdata
html body div div div div div div font span  ,12:17:47,0,10,newdata
html body div div div div div div  ,		 GMT+8:00 		,0,8,newdata
html body div div div div div div span font  ,如切換分頁再回到本頁時，請按F5取得最新時間及活動資訊,0,10,newdata
html body div div div div ul li a  ,活動分類,0,9,newdata
html body div div div div ul li a  ,活動分類,0,9,newdata
html body div div div div ul li a  ,關於本站,0,9,newdata
html body div div div div ul li a  ,關於本站,0,9,newdata
html body div div div div ul li a  ,重要公告,0,9,newdata
html body div div div div ul li a  ,重要公告,0,9,newdata
html body div div div div ul li a  ,我要報名,0,9,newdata
html body div div div div ul li a  ,我要報名,0,9,newdata
html body div div div div ul li a  ,活動查詢,0,9,newdata
html body div div div div ul li a  ,活動查詢,0,9,newdata
html body div div div div ul li a  ,活動回顧,0,9,newdata
html body div div div div ul li a  ,活動回顧,0,9,newdata
html body div div div div ul li a  ,場地租借,0,9,newdata
html body div div div div ul li a  ,場地租借,0,9,newdata
html body div div div div ul li a  ,導覽預約,0,9,newdata
html body div div div div ul li a  ,導覽預約,0,9,newdata
html body div div div div ul li a  ,預約申請,0,9,newdata
html body div div div div ul li a  ,預約申請,0,9,newdata
html body div div div div ul li a  ,我的記錄,0,9,newdata
html body div div div div ul li a  ,我的記錄,0,9,newdata
html body div div div div p  ,您將於,0,7,newdata
html body div div div div p  ,秒後自動登出藝文平台，請問是否繼續使用？,0,7,newdata
html body div div div div p  ,閒置時間過長，請重新登入。,0,7,newdata
html body div div title  ,[表演][演藝廳]銀河谷音劇團-玩具國的奇幻之旅,1,5,newdata
html body div div form div div div a  ,首頁,1,9,newdata
html body div div form div div div  ,>活動明細,1,8,newdata
html body div div form div div div h1  ,[表演][演藝廳]銀河谷音劇團-玩具國的奇幻之旅,1,9,newdata
html body div div form div div div div h1  ,場次資料,1,10,newdata
html body div div form div div div div div table thead tr th  ,				 	展覽期間 				 	,1,14,newdata
html body div div form div div div div div table thead tr th  ,				 	展覽地點 				 	,1,14,newdata
html body div div form div div div div div table tbody tr td  ,					 			玩具國的奇幻之旅,1,14,newdata
html body div div form div div div div div table tbody tr td span  ,								 	2022年02月26日 ~ 2022年02月26日 								,1,15,newdata
html body div div form div div div div div table tbody tr td  ,	 			54新竹市東大路二段17號 				 		 				 			(演藝廳(音樂廳)) 				 		 				 		 				 	,1,14,newdata
html body div div form div div div div div table thead tr th  ,				 	開放時間 				 	,1,14,newdata
html body div div form div div div div div table thead tr th  ,				 	展覽票價 				 	,1,14,newdata
html body div div form div div div div div table tbody tr td  ,				 	14點30分~16點30分 				 	,1,14,newdata
html body div div form div div div div div table tbody tr td  ,				 		 				 		 				 			免費參觀 				 		 				 	,1,14,newdata
html body div div form div div div div div table thead tr th  ,場次,1,14,newdata
html body div div form div div div div div table thead tr th  ,場地,1,14,newdata
html body div div form div div div div div table tbody tr td  ,					 玩具國的奇幻之旅 					 					 	,1,14,newdata
html body div div form div div div div div table tbody tr td span  ,						 	2022/02/26 14:30 ~ 2022/02/26 16:30 						,1,15,newdata
html body div div form div div div div div table tbody tr td  ,	 	演藝廳(音樂廳) 					,1,14,newdata
html body div div form div div div div div ul li span  ,聯絡資訊:,1,13,newdata
html body div div form div div div div div ul li span  ,銀河谷音劇團(02) 2559-7532*11,1,13,newdata
html body div div form div div div div div ul li span  ,票價說明:,1,13,newdata
html body div div form div div div div div ul li span  ,300/400/500/600/800/1000/1200,1,13,newdata
html body div div form div div div div h1  ,活動簡介,1,10,newdata
html body div div form div div div div div div  ,銀河谷音會員85折（最低票價不適用）、身心障礙人士及陪同者1名購票5折（入場時應出示身心障礙手冊，陪同者與身障者需同時入場）,1,11,newdata
html body div div form div div div div h1  ,活動內容介紹,1,10,newdata
html body div div form div div div div div div p  ,日本飛行船劇團技術協力！,1,12,newdata
html body div div form div div div div div div p  ,銀河谷音劇團修編演出！,1,12,newdata
html body div div form div div div div div div p  ,「一部關於珍惜與勇氣的故事」,1,12,newdata
html body div div form div div div div div div p  ,期許孩子學習愛惜物品、幫助他人、思考及解決問題的勇氣！一對無憂無慮的兄弟倆凱凱和小智，擁有許多玩具卻不愛惜。一個平凡的夜晚，出現了一位神秘的小丑，他感慨地抱起破損的玩具們，一一帶回玩具國準備銷毀……兄弟倆決心要拯救這些充滿回憶的玩具，但是玩具國王出了許多的難題！凱凱和小智能成功救出心愛的玩具嗎？※此劇將與台下觀眾互動演出，一起來幫助兄弟倆拯救即將被銷毀的玩具吧！,1,12,newdata
html body div div div p  ,地址：30041 新竹市中央路109號,0,6,newdata
html body div div div p  ,電話：03-5319756 傳真：03-5324834,0,6,newdata
html body div div div p  ,上班時間：週一至週五8：00~12：00，13：00~17：00,0,6,newdata
html body div div div p  ,本網站支援IE 9以上、Chrome及Firefox、edge等瀏覽器，建議使用螢幕解析度1366x768可得到最佳瀏覽效果。,0,6,newdata
html body div  ,»,0,3,newdata
