tag,content,label,depth,domain
html body nav div div div a  ,首頁,0,7,newdata
html body nav div div ul li a span  ,Open submenu (關於我們),0,9,newdata
html body nav div div ul li a  ,關於我們,0,8,newdata
html body nav div div ul li a span  ,Open submenu (行動議題),0,9,newdata
html body nav div div ul li a  ,行動議題,0,8,newdata
html body nav div div ul li a span  ,Open submenu (焦點news),0,9,newdata
html body nav div div ul li a  ,焦點news,0,8,newdata
html body nav div div ul li a span  ,Open submenu (出版累積),0,9,newdata
html body nav div div ul li a  ,出版累積,0,8,newdata
html body nav div div ul li a span  ,Open submenu (台中分會),0,9,newdata
html body nav div div ul li a  ,台中分會,0,8,newdata
html body nav div div ul li a  ,南部辦公室,0,8,newdata
html body nav div div ul li a span  ,Open submenu (捐款支持),0,9,newdata
html body nav div div ul li a  ,捐款支持,0,8,newdata
html body nav div div ul li a span  ,Open submenu (環教申請),0,9,newdata
html body nav div div ul li a  ,環教申請,0,8,newdata
html body nav div div div a span  ,Close submenu (關於我們),0,8,newdata
html body nav div div div a  ,關於我們,0,7,newdata
html body nav div div ul li a  ,本會簡介,0,8,newdata
html body nav div div ul li a  ,各會據點,0,8,newdata
html body nav div div ul li a  ,組織架構,0,8,newdata
html body nav div div ul li a  ,肯定與榮耀,0,8,newdata
html body nav div div ul li a  ,30週年活動,0,8,newdata
html body nav div div div a span  ,Close submenu (行動議題),0,8,newdata
html body nav div div div a  ,行動議題,0,7,newdata
html body nav div div ul li a  ,綠食育,0,8,newdata
html body nav div div ul li a  ,低碳綠能,0,8,newdata
html body nav div div ul li a  ,綠生活,0,8,newdata
html body nav div div ul li a  ,空污,0,8,newdata
html body nav div div div a span  ,Close submenu (焦點news),0,8,newdata
html body nav div div div a  ,焦點news,0,7,newdata
html body nav div div ul li a  ,專欄文章,0,8,newdata
html body nav div div ul li a  ,活動報導,0,8,newdata
html body nav div div ul li a  ,新聞稿,0,8,newdata
html body nav div div div a span  ,Close submenu (出版累積),0,8,newdata
html body nav div div div a  ,出版累積,0,7,newdata
html body nav div div ul li a  ,會訊,0,8,newdata
html body nav div div ul li a  ,電子報,0,8,newdata
html body nav div div ul li a  ,行動議題小冊,0,8,newdata
html body nav div div div a span  ,Close submenu (台中分會),0,8,newdata
html body nav div div div a  ,台中分會,0,7,newdata
html body nav div div ul li a  ,台中分會簡介,0,8,newdata
html body nav div div ul li a  ,環境教育課程申請,0,8,newdata
html body nav div div ul li a  ,反空污,0,8,newdata
html body nav div div ul li a  ,減塑減廢,0,8,newdata
html body nav div div div a span  ,Close submenu (捐款支持),0,8,newdata
html body nav div div div a  ,捐款支持,0,7,newdata
html body nav div div ul li a  ,台北總會,0,8,newdata
html body nav div div ul li a  ,台中分會,0,8,newdata
html body nav div div ul li a  ,南部辦公室,0,8,newdata
html body nav div div ul li a  ,行動議題捐款,0,8,newdata
html body nav div div ul li a  ,振興券捐贈,0,8,newdata
html body nav div div ul li a  ,捐贈節稅小撇步,0,8,newdata
html body nav div div ul li a  ,Line Pay 快速捐,0,8,newdata
html body nav div div ul li a  ,發票捐贈,0,8,newdata
html body nav div div ul li a span  ,Open submenu (公開資訊),0,9,newdata
html body nav div div ul li a  ,公開資訊,0,8,newdata
html body nav div div div a span  ,Close submenu (公開資訊),0,8,newdata
html body nav div div div a  ,公開資訊,0,7,newdata
html body nav div div ul li a  ,財務報表,0,8,newdata
html body nav div div ul li a  ,年度報告,0,8,newdata
html body nav div div ul li a  ,捐款名單徵信,0,8,newdata
html body nav div div div a span  ,Close submenu (環教申請),0,8,newdata
