tag,content,label,depth,domain
html body a  ,	跳至主要內容,0,3,newdata
html body div header div div div div div div div a span  ,Facebook,0,13,newdata
html body div header div div div div div div div a span  ,Instagram,0,13,newdata
html body div header div div div div div nav ul li a  ,首頁,0,13,newdata
html body div header div div div div div nav ul li a  ,最新消息,0,13,newdata
html body div header div div div div div nav ul li a  ,南方影展,0,13,newdata
html body div header div div div div div nav ul li ul li a  ,南方獎,0,15,newdata
html body div header div div div div div nav ul li ul li a  ,歷屆影展,0,15,newdata
html body div header div div div div div nav ul li a  ,南方電影論壇,0,13,newdata
html body div header div div div div div nav ul li a  ,關於學會,0,13,newdata
html body div main div article div header h1  ,時隔一年 萬眾期待 第21屆南方影展影片徵件開跑,1,9,newdata
html body div main div article div header ul li a span  ,南方影像學會,1,12,newdata
html body div main div article div header ul li time  ,2021 年 12 月 22 日,1,11,newdata
html body div main div article div header ul li a  ,最新消息,1,11,newdata
html body div main div article div header nav span a span  ,首頁,1,12,newdata
html body div main div article div header nav span a span  ,最新消息,1,12,newdata
html body div main div article div p strong  ,增設給臺灣學生的禮物「南方學生獎」,1,9,newdata
html body div main div article div p  ,南方影展於11月底剛舉辦完「南方有貴人」的活動，吸引超過上千名觀眾參與，嗨翻大南門古城。同時，影展馬不停蹄邁入下一屆的來臨。影展自2020年起蛻變為雙年展，雙數年舉辦「南方獎—全球華人影片競賽」，並於臺南主場放映；單數年將得獎與入圍作品全臺巡迴外，也計畫邀請臺灣的優質作品、創作者一同出國進行交流。南方影展【南方獎—全球華人影片競賽】，徵件開跑了，總獎金加碼至30萬。第一階段免費報名，從即日起至2022年3月13日截止；第二階段將採收費報名至2022年4月11日止。,1,8,newdata
html body div main div article div p  ,南方影展為南臺灣唯一獨立影展，以前衛特質、獨立影像為號召，長期蹲點臺南，並以關環人文、環境及社會會議題為影展信念；除此之外，也著重在新銳導演的發掘。許多臺灣知名導演，便曾以南方影展為其發跡所在。如2008年南方新人獎得主程偉豪的《搞甚麼鬼》、2005年南方首獎林書宇《海巡尖兵》，以及2005年最佳劇情片徐漢強《請登入‧線實》等，皆曾在南方展現影像創作的深刻創意，造就了一批又一批的影迷。,1,8,newdata
html body div main div article div p  ,除了已經在國際發光發熱的導演之外，南方獎歷年得獎名單中也常見學生製作，往年還有高中學生的作品獲評審青睞。學生作品的自由不羈，往往最能體現創作者忠於自我的態度。過往學生製片在面對資金、技術與放映管道的匱乏上，往往造成作品的埋沒，這絕非影展所樂見。因此南方影展決定，要送給臺灣學生一份特別的禮物——「南方學生獎」，除已獲得公部門等補助之學生製片外，皆有資格角逐此獎項。期許南方影展也能成為專注於學生獨立創作的映演平台，讓缺乏資源卻同樣努力創作的學生作品，得以嶄露頭角。,1,8,newdata
html body div main div article div p  ,此外近兩年間的疫情肆虐，令臺灣民眾的生活產生劇烈變化，南方影展秉持關注社會脈動與影像發展的精神，自2021年起，開設「〈疫情一天〉特別徵件」單元。希冀為臺灣的未來，藉由影像及時的創作，留下此刻疫情的大/小歷史，建構全民記憶。,1,8,newdata
html body div main div article div p  ,更多關於「南方獎—全球華人影片競賽」件資訊，請上官方網站,1,8,newdata
html body div main div article div p a  ,http://festival.south.org.tw/,1,9,newdata
html body div main div article div p  ,或臉書查詢，期待更多創作者透過南方影展獨一無二的平台，綻放影像的魅力。,1,8,newdata
html body div main div div div h3  ,				相關文章			,0,8,newdata
html body div main div div div article h3 a  ,南方影展 X 貴人散步音樂節 11/26-28「南方有貴人」最南方的電音古城之夜,0,10,newdata
html body div main div div div article ul li time  ,2021 年 11 月 24 日,0,11,newdata
html body div main div div div article h3 a  ,南方影展首度策畫當代展覽〈赤崁當代記—南方影像中的地誌學〉11/13-28愛國婦人館,0,10,newdata
html body div main div div div article ul li time  ,2021 年 11 月 5 日,0,11,newdata
html body div main div div div article h3 a  ,「遇見南國紀實影展」10/8-9國立臺南生活美學館 精彩放映,0,10,newdata
html body div main div div div article ul li time  ,2021 年 10 月 6 日,0,11,newdata
html body div footer div div div nav ul li a  ,關於學會,0,11,newdata
html body div footer div div div nav ul li a  ,南方影展,0,11,newdata
html body div footer div div div div p  ,版權所有 © 2022 台灣南方影像學會 - 使用 Blocksy〡 Elementor〡Envato〡Happy Addons〡WordPress 佈景,0,9,newdata
html body div footer div div div div div a span  ,Facebook,0,11,newdata
html body div footer div div div div div a span  ,Instagram,0,11,newdata
html body div div div div nav ul li a  ,首頁,0,10,newdata
html body div div div div nav ul li a  ,最新消息,0,10,newdata
html body div div div div nav ul li span a  ,南方影展,0,11,newdata
html body div div div div nav ul li ul li a  ,南方獎,0,12,newdata
html body div div div div nav ul li ul li a  ,歷屆影展,0,12,newdata
html body div div div div nav ul li a  ,南方電影論壇,0,10,newdata
html body div div div div nav ul li a  ,關於學會,0,10,newdata
